2024-01-01 12:31:54.720 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 12:31:55.769 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 12:31:56.987 [info] > git rev-parse --show-toplevel [0ms]
2024-01-01 12:32:27.787 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 12:32:28.934 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 12:32:30.393 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 12:32:31.819 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 12:32:33.303 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 12:32:35.068 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 12:32:57.927 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 12:32:59.462 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 12:33:00.792 [info] > git rev-parse --show-toplevel [0ms]
2024-01-01 12:33:02.134 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 12:33:03.183 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 12:33:04.379 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 12:33:20.214 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 12:33:21.261 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 12:33:22.643 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 12:33:24.203 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 12:33:25.655 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 12:33:27.617 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 12:34:26.658 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 12:34:28.256 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 12:34:29.915 [info] > git rev-parse --show-toplevel [2ms]
2024-01-01 12:34:31.287 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 12:34:32.401 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 12:34:33.422 [info] > git rev-parse --show-toplevel [0ms]
2024-01-01 12:36:03.168 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 12:36:04.275 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 12:36:05.366 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 12:36:06.818 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 12:36:08.295 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 12:36:11.371 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 12:36:27.332 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 12:36:28.320 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 12:36:33.088 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 12:36:34.677 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 12:36:35.927 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 12:36:36.960 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 12:36:38.158 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 12:36:39.539 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 12:40:31.376 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 12:43:31.352 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 12:43:33.348 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 12:43:35.649 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 12:43:36.145 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 12:43:37.320 [info] > git rev-parse --show-toplevel [0ms]
2024-01-01 12:43:38.350 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 12:43:39.647 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 12:46:09.798 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 12:46:10.925 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 12:46:12.060 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 12:46:13.178 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 12:46:14.479 [info] > git rev-parse --show-toplevel [0ms]
2024-01-01 12:46:16.223 [info] > git rev-parse --show-toplevel [0ms]
2024-01-01 12:47:55.150 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 12:47:56.521 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 12:47:57.710 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 12:47:58.971 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 12:47:59.943 [info] > git rev-parse --show-toplevel [1ms]
2024-01-01 12:48:01.031 [info] > git rev-parse --show-toplevel [0ms]
